Unnamed: 0,state,district,name,party,committee,page_link
381,Texas,17th,"Sessions, Pete",R,Financial Services|Oversight and Accountability,https://sessions.house.gov
383,Texas,19th,"Arrington, Jodey",R,Budget|Ways and Means,https://arrington.house.gov
384,Texas,20th,"Castro, Joaquin",D,Foreign Affairs|Intelligence,https://castro.house.gov
385,Texas,21st,"Roy, Chip",R,Budget|Judiciary|Rules,https://roy.house.gov
386,Texas,22nd,"Nehls, Troy",R,Judiciary|Transportation and Infrastructure,https://nehls.house.gov
387,Texas,23rd,"Gonzales, Tony",R,Appropriations|Homeland Security,https://gonzales.house.gov
388,Texas,24th,"Van Duyne, Beth",R,Small Business|Ways and Means,https://vanduyne.house.gov
389,Texas,25th,"Williams, Roger",R,Financial Services|Small Business,https://williams.house.gov
390,Texas,26th,"Burgess, Michael",R,Budget|Energy and Commerce|Rules,https://burgess.house.gov/
391,Texas,27th,"Cloud, Michael",R,Appropriations|Oversight and Accountability|Select Subcommittee on the Coronavirus Pandemic,https://cloud.house.gov
392,Texas,28th,"Cuellar, Henry",D,Appropriations,https://cuellar.house.gov/
393,Texas,29th,"Garcia, Sylvia",D,Financial Services|Select Subcommittee on the Weaponization of the Fed Govt,https://sylviagarcia.house.gov/
394,Texas,30th,"Crockett, Jasmine",D,Agriculture|Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability,https://crockett.house.gov
395,Texas,31st,"Carter, John",R,Appropriations,https://carter.house.gov/
396,Texas,32nd,"Allred, Colin",D,Foreign Affairs|Transportation and Infrastructure,https://allred.house.gov/
397,Texas,33rd,"Veasey, Marc",D,Armed Services|Energy and Commerce,https://veasey.house.gov
398,Texas,34th,"Gonzalez, Vicente",D,Financial Services,https://gonzalez.house.gov
399,Texas,35th,"Casar, Greg",D,Agriculture|Oversight and Accountability,https://casar.house.gov
400,Texas,36th,"Babin, Brian",R,"Transportation and Infrastructure|Science, Space, and Technology",https://babin.house.gov
401,Texas,37th,"Doggett, Lloyd",D,Budget|Joint Committee on Taxation|Ways and Means,https://doggett.house.gov
402,Texas,38th,"Hunt, Wesley",R,Natural Resources|Judiciary|Small Business,https://hunt.house.gov
403,Utah,1st,"Moore, Blake",R,Budget|Ways and Means,https://blakemoore.house.gov
404,Utah,2nd,"Maloy, Celeste",R,Transportation and Infrastructure|Small Business,https://maloy.house.gov
405,Utah,3rd,"Curtis, John",R,Energy and Commerce|Natural Resources,https://curtis.house.gov/
406,Utah,4th,"Owens, Burgess",R,Education and the Workforce|Transportation and Infrastructure,https://owens.house.gov
407,Vermont,At Large,"Balint, Becca",D,Budget|Judiciary,https://balint.house.gov
408,Virginia,1st,"Wittman, Robert",R,Armed Services|Natural Resources|Select Comm on the Strategic Competition US and China,https://wittman.house.gov/
409,Virginia,2nd,"Kiggans, Jennifer",R,Armed Services|Natural Resources|Veterans' Affairs,https://kiggans.house.gov
410,Virginia,3rd,"Scott, Robert",D,Budget|Education and the Workforce,https://bobbyscott.house.gov
411,Virginia,4th,"McClellan, Jennifer",D,"Armed Services|Science, Space, and Technology",https://mcclellan.house.gov/
412,Virginia,5th,"Good, Bob",R,Budget|Education and the Workforce,https://good.house.gov
413,Virginia,6th,"Cline, Ben",R,Appropriations|Budget|Judiciary|Select Comm on the Strategic Competition US and China,https://cline.house.gov
414,Virginia,7th,"Spanberger, Abigail",D,Agriculture|Intelligence,https://spanberger.house.gov
415,Virginia,8th,"Beyer, Donald",D,Ways and Means,https://beyer.house.gov
416,Virginia,9th,"Griffith, H.",R,House Administration|Energy and Commerce,https://morgangriffith.house.gov/
417,Virginia,10th,"Wexton, Jennifer",D,Appropriations|Budget,https://wexton.house.gov/
418,Virginia,11th,"Connolly, Gerald",D,Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability,https://connolly.house.gov/
419,Virgin Islands,Delegate,"Plaskett, Stacey",D,Select Subcommittee on the Weaponization of the Fed Govt|Intelligence,https://plaskett.house.gov/
420,Washington,1st,"DelBene, Suzan",D,Ways and Means,https://delbene.house.gov
421,Washington,2nd,"Larsen, Rick",D,Transportation and Infrastructure,https://larsen.house.gov
422,Washington,3rd,"Perez, Marie",D,Agriculture|Small Business,https://gluesenkampperez.house.gov
423,Washington,4th,"Newhouse, Dan",R,Appropriations|Select Comm on the Strategic Competition US and China,https://newhouse.house.gov
424,Washington,5th,"Rodgers, Cathy",R,Energy and Commerce,https://mcmorris.house.gov/
425,Washington,6th,"Kilmer, Derek",D,Appropriations|House Administration,https://kilmer.house.gov
426,Washington,7th,"Jayapal, Pramila",D,Education and the Workforce|Judiciary,https://jayapal.house.gov
427,Washington,8th,"Schrier, Kim",D,Energy and Commerce,https://schrier.house.gov
428,Washington,9th,"Smith, Adam",D,Armed Services,https://adamsmith.house.gov/
429,Washington,10th,"Strickland, Marilyn",D,Armed Services|Transportation and Infrastructure,https://strickland.house.gov
430,West Virginia,1st,"Miller, Carol",R,Ways and Means,https://miller.house.gov/
431,West Virginia,2nd,"Mooney, Alexander",R,Financial Services,https://mooney.house.gov/
432,Wisconsin,1st,"Steil, Bryan",R,Financial Services|House Administration|Joint Committee of Congress on the Library,https://steil.house.gov
433,Wisconsin,2nd,"Pocan, Mark",D,Appropriations,https://pocan.house.gov
434,Wisconsin,3rd,"Van Orden, Derrick",R,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://vanorden.house.gov
435,Wisconsin,4th,"Moore, Gwen",D,Ways and Means,https://gwenmoore.house.gov
436,Wisconsin,5th,"Fitzgerald, Scott",R,Financial Services|Judiciary,https://fitzgerald.house.gov
437,Wisconsin,6th,"Grothman, Glenn",R,Budget|Education and the Workforce|Oversight and Accountability,https://grothman.house.gov
438,Wisconsin,7th,"Tiffany, Thomas",R,Natural Resources|Judiciary,https://tiffany.house.gov/
440,Wyoming,At Large,"Hageman, Harriet",R,Select Subcommittee on the Weaponization of the Fed Govt|Natural Resources|Judiciary,https://hageman.house.gov
